Cluster,Keywords,Sample Channels
0,"rv, pastor, life, rving, love, power","Endless RVing, I Love RV Life, Off Grid In The Pacific North West, RV Pastor Kevin, RV Tips & Travels"
1,"streamgeeks, appointment, burklandgardens, com, sign, houston","Burkland Gardens, Dr. Alex Tubio, StreamGeeks"
2,"video, pro, final, cut, audio, tutorials","3DVista, AV-Ultra, B&H Photo Video Pro Audio, Ben Halsall: Final Cut Pro & Adobe Tutorials, Brad West"
3,"road, home, diy, air, videos, support","7idea Productions, Dave's Garage, Denys Davydov, DIY PETE, Essential Craftsman"
4,"news, politics, military, american, analysis, democracy","Aus Flight Simmer, BFBS Forces News, Brian Tyler Cohen, Building Integrity, CNA"
5,"bass, player, guitar, music, gear, musician","74 Gear, Best of The Voice, Bobby Bass, Elise Trouw, EllenPlaysBass"
6,"business, marketing, online, build, channel, make","Alex Ford, AM/PM Podcast, Asianometry, ASICentral, ATHLEAN-Xâ„¢"
7,"music, jazz, musicians, artists, guitar, producer","BBC Music, Calum Graham Music, Chill Guitar Music, Coffee Relaxing Jazz, Dead Wax"
8,"weather, digital, serhant, severestudios, severe, space","Digital Trends, Hidden Technology, Live Storms Media, Pacific Northwest Weather Watch, Reed Timmer"
9,"ai, tools, intelligence, artificial, coding, build","AI Explained, AI In Context, AI Revolution, AI Samson, Build Great Products"
10,"apple, com, david, world, engineering, https","Aaron Parnas, Above Ground Pool Builder, AdEspresso, After Skool, alyankovic"
11,"gardening, garden, gardener, growing, grow, tips","CaliKim29 Garden & Home DIY, Epic Gardening, Garden Style nw, Gardener Scott, Gardening Products Review"
12,"official, youtube, channel, band, porcupine, rush","Blues Lounge, Bruno Mars, Dirty Loops, Dream Theater, Dub Element"
13,"tv, butcher, pineapple, vice, channel, history","Butcher Wizard, DangerTV, HISTORY, Kindlepreneur, NewsNation"
14,"science, health, videos, medical, dr, technology","Cambridge University Cosmology, Captain Steeeve, China Insights, CPA Strength, Dr. Andrea Furlan"
15,"com, https, www, instagram, facebook, patreon","Alex Hormozi, Alter Bridge, Arc De Soleil, Becki and Chris, Bob Moses"
16,"photography, photos, landscape, tutorials, mobile, hdr","4K Clips And Trailers, 360 Vroomers, Allan Walls Photography, Candyrat Records, Epic Tutorials for Mobile Filmmaking + EPIC LUTs"
17,"publishing, self, books, kdp, author, post","Barry KDP, Best360, Clark Kegley, Dane McBeth Publishing, Jeff Geerling"
18,"tech, film, filmmaker, making, tv, drone","Above Ground Pros, AuthenTech - Ben Schmanke, Drone Canada, Erik Grankvist, Full Time Filmmaker"
19,"real, estate, luxury, jesse, photography, portland","Adam Taylor // Architecture Photography Resources, Cloud Based Real Estate Brokerage with Jesse Dau, Damien Cooper, David Sharpe, FD Real"
